CT_Language 0.001
default_menubut_find|Allgemein suchen
default_tt_sm_hyp_space|Trennzeichen durch Leerzeichen ersetzen
default_tt_sm_hyp_replace|Worttrennung korrigieren
default_tt_sm_hyp_ignore|Wort auf die Ignorierliste setzen
default_tt_sm_hyp_dictionary|Wort ins Standardwörterbuch eintragen
default_tt_sm_hyp_undo|Letzten Vorgang rückgängig machen
default_tt_war_cmbList|Warnliste auswählen
default_tt_sm_war_text|Text ersetzen
default_tt_sm_war_make|Diese Wörter ersetzen
default_tt_sm_war_ignore|Wort auf die Ignorierliste setzen
default_tt_sm_war_dictionary|Wort ins Standardwörterbuch eintragen
default_tt_sm_war_undo|Letzten Vorgang rückgängig machen
default_tt_hea_cmbList|Ansicht auswählen
default_tt_sm_hea_undo|Letzten Vorgang rückgängig machen
default_tt_hea_butExecute|Ansicht ausführen
default_tt_sm_hea_style|Absatzvorlage ausgewählten Elementen zuweisen
default_tt_opt_butLanguages|Sprache der Benutzeroberfläche bearbeiten
default_tt_opt_butShowPath|Dateipfad der Erweiterung anzeigen
default_tt_sm_fin_qrefind_off|Am Ende des Dokuments fragen
default_tt_sm_fin_qrefind_on|Suche automatisch am Dokumentenanfang fortsetzen
default_tt_sm_sty_qrefind_off|Am Ende des Dokuments fragen
default_tt_sm_sty_qrefind_on|Suche automatisch am Dokumentenanfang fortsetzen
default_tt_sm_war_qrefind_on|Suche automatisch am Dokumentenanfang fortsetzen
default_tt_sm_hyp_qrefind_on|Suche automatisch am Dokumentenanfang fortsetzen
default_tt_sm_war_qrefind_off|Am Ende des Dokuments fragen
default_tt_sm_hyp_qrefind_off|Am Ende des Dokuments fragen
default_tt_opt_visitSite|Website besuchen
default_regex_00001|Liste der allgemeinen regulären Ausdrücke
default_regex_00002|Liste der regulären Ausdrücke für Überschriften
default_regex_00003|Liste der regulären Ausdrücke für Warnungen
default_regex_00004|Liste der regulären Ausdrücke für Worttrennungen
default_regex_00005|Online nach regulären Ausdrücken suchen
default_wait_00001|BITTE WARTEN
default_wait_00002|Suche allgemeine reguläre Ausdrücke
default_wait_00003|Erstelle allgemeine reguläre Ausdrücke
default_wait_00004|Suche Worttrennungen
default_wait_00005|Erstelle Worttrennungen
default_wait_00007|Erstelle Warnungen
default_wait_00006|Suche Warnungen
default_war_00001|Alle Warnungen
default_wait_00008|Suche Überschriften
default_wait_00009|Suche Absatzvorlagen
default_wait_00010|Erstelle Absatzvorlagen
default_find_00001|Alle Absatzvorlagen
default_hea_00001|Alle Überschriften
default_lang_00001|Verwendete Sprache
default_lang_00002|Ursprüngliche Zeichenkette
default_lang_00003|Ausgewählte Zeichenkette in ausgewähler Sprache bearbeiten
default_lang_00004|Erzeugen
default_option_00001|Dateipfad der Erweiterung anzeigen
default_option_00002|Sprachen
default_option_00003|Ja
default_option_00004|Nein
dialog_regex_0001|Reguläre Ausdrücke gespeichert
dialog_regex_0002|Reguläre Ausdrücke gespeichert (s. Debug Log)
dialog_regex_0003|Reguläre Ausdrücke wiederherstellen
dialog_regex_0004|Reguläre Ausdrücke werden zurückgesetzt. Sollen auch die persönlichen regulären Ausdrücke gelöscht werden?
dialog_regex_0005|Reguläre Ausdrücke bearbeiten
dialog_regex_0006|Kein regulärer Ausdruck passt
dialog_regex_0007|Regulärer Ausdruck ungültig
dialog_find_0001|Reguläre Ausdrücke allgemein suchen
dialog_find_0002|Dokumentenende erreicht. Am Anfang weitersuchen?
dialog_option_0001|Dateipfad der Erweiterung
dialog_option_0002|In diesem Pfad finden Sie den Ordner der Erweiterung:
dialog_cp_001|Ausgewählter regulärer Ausdruck in die Zwischenablage eingefügt
dialog_cp_002|Alle regulären Ausdrücke in die Zwischenablage eingefügt
dialog_cp_003|Regulären Ausdruck kopieren
dialog_cp_004|Ausgeführter regulärer Ausdruck:
dialog_cp_005|Hinzugefügter regulärer Ausdruck:
dialog_cp_006|Überschriebener regulärer Ausdruck:
dialog_cp_007|Übersprungener regulärer Ausdruck:
dialog_cp_008|Als falsch erkannter regulärer Ausdruck:
dialog_cp_009|Speichern Sie die Änderungen ab, um sie dauerhaft zu machen.
dialog_cp_010|Ergebnis des regulären Ausdrucks einfügen
dialog_cp_011|Format ungültig
dialog_cp_012|Alle regulären Ausdrücke speichern (nein: nur ausgewählte)?
dialog_cp_013|Bereits vorhandene reguläre Ausdrücke:
dialog_overwrite_001|Schlüssel bereits vorhanden
dialog_overwrite_002|Alter regulärer Ausdruck
dialog_overwrite_003|Neuer regulärer Ausdruck
dialog_overwrite_004|Überschreiben
dialog_overwrite_005|Neuen Schlüssel erzeugen
dialog_overwrite_006|Überspringen
dialog_overwrite_007|Auf die aktuelle Warteschlage anwenden
dialog_overwrite_008|Anhalten
dialog_paste_001|Fügen Sie ihren regulären Ausdruck ein
RE_DEFAULT_W_0001|Wort mit Binnengroßschreibung oder Ziffer
RE_DEFAULT_W_0002|Wörtliche Rede zur Untersuchung
RE_DEFAULT_W_0003|Satzzeichenwarnung
RE_DEFAULT_W_0004|Ziffern
RE_DEFAULT_W_0005|Sonderzeichen
RE_DEFAULT_W_0006|Akzente
RE_DEFAULT_W_0007|Großgeschriebene Wörter
RE_DEFAULT_HY_001|Klassische Worttrennung
RE_DEFAULT_H_0001|Nur Ziffer
RE_DEFAULT_H_0002|Einführung, Epilog und Danksagung
RE_DEFAULT_H_0003|Kapitel und Chapter
RE_DEFAULT_H_0004|Teil *
RE_DEFAULT_H_0005|Römische Ziffer

